Timestamp,Symbol,Direction,Breakout_Type,Trigger_Price,Stop_Loss,WOBI_Ratio,Bid_Qty,Ask_Qty,OR_High,OR_Low,Candle_OHLC,Trend,Token
2026-06-10 10:30:00,SBIN,SELL,BEAR_BREAKOUT,1007.75,1007.8,-0.6397,1832,6644,0.0,inf,1006.7/1007.8/1006.6/1007.75,N/A,779521
2026-06-10 10:30:03,TITAN,SELL,BEAR_BREAKOUT,4107.3,4109.0,-0.7875,54,575,0.0,inf,4107.5/4109.0/4102.0/4107.3,N/A,897537
2026-06-10 10:35:00,PNB,SELL,BEAR_BREAKOUT,109.84,109.84,-0.7410,14752,47178,0.0,inf,109.36/109.84/109.36/109.84,N/A,2730497
2026-06-10 10:35:00,SBIN,SELL,BEAR_BREAKOUT,1009.6,1009.85,-0.7607,2402,23594,0.0,inf,1007.8/1009.85/1007.65/1009.6,N/A,779521
2026-06-10 10:35:01,TITAN,SELL,BEAR_BREAKOUT,4109.8,4109.8,-0.8156,106,736,0.0,inf,4106.9/4109.8/4105.3/4109.8,N/A,897537
2026-06-10 10:35:02,AXISBANK,SELL,BEAR_BREAKOUT,1303.5,1303.9,-0.6772,1340,7275,0.0,inf,1303.1/1303.9/1302.3/1303.5,N/A,1510401
2026-06-10 10:40:00,AXISBANK,SELL,BEAR_BREAKOUT,1304.8,1304.9,-0.8450,1901,19425,0.0,inf,1303.5/1304.9/1302.7/1304.8,N/A,1510401
2026-06-10 10:40:00,CANBK,BUY,BULL_BREAKOUT,137.03,136.86,+0.7694,44656,4755,0.0,inf,137.06/137.17/136.86/137.03,N/A,2763265
2026-06-10 10:40:01,PNB,BUY,BULL_BREAKOUT,109.73,109.7,+0.6074,91292,46055,0.0,inf,109.85/109.85/109.7/109.73,N/A,2730497
2026-06-10 10:45:00,AXISBANK,SELL,BEAR_BREAKOUT,1305.0,1306.6,-0.7709,630,6393,0.0,inf,1304.4/1306.6/1304.1/1305.0,N/A,1510401
2026-06-10 10:50:00,VOLTAS,BUY,BULL_BREAKOUT,1316.0,1314.0,+0.6339,762,169,0.0,inf,1315.0/1318.0/1314.0/1316.0,N/A,951809
2026-06-10 10:50:00,SBIN,SELL,BEAR_BREAKOUT,1008.45,1008.8,-0.8342,1132,12030,0.0,inf,1008.05/1008.8/1007.5/1008.45,N/A,779521
2026-06-10 10:50:01,APOLLOHOSP,SELL,BEAR_BREAKOUT,8606.0,8610.0,-0.6429,179,1018,0.0,inf,8608.5/8610.0/8598.5/8606.0,N/A,40193
2026-06-10 10:55:00,SBIN,SELL,BEAR_BREAKOUT,1009.55,1009.7,-0.6431,4070,23190,0.0,inf,1008.35/1009.7/1007.5/1009.55,N/A,779521
2026-06-10 11:00:00,APOLLOHOSP,SELL,BEAR_BREAKOUT,8600.0,8612.5,-0.6990,106,455,0.0,inf,8611.5/8612.5/8593.0/8600.0,N/A,40193
2026-06-10 11:00:02,TITAN,SELL,BEAR_BREAKOUT,4109.9,4109.9,-0.7073,179,531,0.0,inf,4105.2/4109.9/4103.9/4109.9,N/A,897537
2026-06-10 11:00:04,CANBK,SELL,BEAR_BREAKOUT,136.53,136.98,-0.6960,2454,15486,0.0,inf,136.98/136.98/136.46/136.53,N/A,2763265
2026-06-10 11:05:00,CANBK,SELL,BEAR_BREAKOUT,136.81,136.95,-0.8427,2818,39615,0.0,inf,136.69/136.95/136.58/136.81,N/A,2763265
2026-06-10 11:05:00,SBIN,SELL,BEAR_BREAKOUT,1009.15,1010.65,-0.7488,1132,6662,0.0,inf,1010.2/1010.65/1009.1/1009.15,N/A,779521
2026-06-10 11:05:01,APOLLOHOSP,SELL,BEAR_BREAKOUT,8605.0,8610.0,-0.6949,71,465,0.0,inf,8598.5/8610.0/8598.5/8605.0,N/A,40193
2026-06-10 11:05:01,PNB,SELL,BEAR_BREAKOUT,109.8,109.86,-0.6911,11547,34077,0.0,inf,109.79/109.86/109.65/109.8,N/A,2730497
2026-06-10 11:05:03,TITAN,SELL,BEAR_BREAKOUT,4117.9,4118.9,-0.7468,87,279,0.0,inf,4110.0/4118.9/4109.5/4117.9,N/A,897537
2026-06-10 11:10:00,TITAN,SELL,BEAR_BREAKOUT,4119.0,4119.0,-0.7991,40,320,0.0,inf,4117.9/4119.0/4112.2/4119.0,N/A,897537
2026-06-10 11:10:00,SBIN,BUY,BULL_BREAKOUT,1008.45,1008.0,+0.7467,6421,1095,0.0,inf,1009.3/1009.55/1008.0/1008.45,N/A,779521
2026-06-10 11:10:01,APOLLOHOSP,SELL,BEAR_BREAKOUT,8605.0,8611.5,-0.8094,52,532,0.0,inf,8605.0/8611.5/8599.5/8605.0,N/A,40193
2026-06-10 11:10:04,VOLTAS,BUY,BULL_BREAKOUT,1313.2,1312.9,+0.8643,990,115,0.0,inf,1314.1/1316.4/1312.9/1313.2,N/A,951809
